 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.0.2.15:5000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 117-645-190
127.0.0.1 - - [07/Nov/2025 19:54:46] "GET /healthz HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:56:46] "GET /api/meals HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:56:46] "GET /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "OPTIONS /api/meals/insights HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "OPTIONS /api/meals HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "OPTIONS /api/meals HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "OPTIONS /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "OPTIONS /api/meals/insights HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "OPTIONS /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "GET /api/meals/insights HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "GET /api/meals HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "GET /api/meals/insights HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "GET /api/meals HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:35] "GET /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:57:36] "GET /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "OPTIONS /api/meals HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "OPTIONS /api/meals/insights HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "OPTIONS /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "OPTIONS /api/meals HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "OPTIONS /api/meals/insights HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "OPTIONS /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "GET /api/meals HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "GET /api/meals/insights HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "GET /api/meals HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "GET /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "GET /api/meals/insights HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:13] "GET /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:24] "OPTIONS /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:24] "PUT /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 19:59:29] "PUT /api/users/profile HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 20:01:32] "OPTIONS /api/meals HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 20:01:33] "[35m[1mPOST /api/meals HTTP/1.1[0m" 201 -
127.0.0.1 - - [07/Nov/2025 20:01:33] "OPTIONS /api/meals/insights HTTP/1.1" 200 -
127.0.0.1 - - [07/Nov/2025 20:01:33] "GET /api/meals/insights HTTP/1.1" 200 -
